role,skills,description,tech_stack
"Frontend Engineer","javascript typescript react vue angular html css html5 css3 tailwindcss sass webpack vite nextjs redux ui ux responsive design single page application web-security rest-apis frontend browser npm git web-dev","Specializes in building the visual and interactive elements of web applications. Focuses on responsiveness, user experience, performance, and cross-browser compatibility.","React, TypeScript, Next.js, HTML5, CSS3, TailwindCSS, Vite, Redux"
"Backend Engineer","python django fastapi nodejs express go golang java springboot spring postgresql postgres mongodb mysql redis sqllite rest-apis graphql docker grpc microservices oop system-design git aws backend databases servers","Responsible for server-side logic, database management, API creation, and core business systems. Ensures performance, scalability, security, and integration with third-party services.","Python, FastAPI, PostgreSQL, Docker, Redis, REST APIs, Microservices"
"Data Scientist","python sql machine-learning pandas numpy scikit-learn tensorflow keras pytorch statistics linear-algebra jupyter-notebooks r programming data-analysis feature-engineering predictive-modeling classification regression deep-learning matplotlib seaborn artificial-intelligence","Extracts insights from structured and unstructured data using statistics, machine learning, and data visualization. Builds predictive models to solve complex business problems.","Python, pandas, numpy, scikit-learn, TensorFlow, PyTorch, SQL"
"DevOps Engineer","linux bash shell scripting docker kubernetes aws amazon-web-services azure terraform ansible ci-cd github-actions gitlab jenkins prometheus grafana nginx cloud-computing monitoring logging infrastructure-as-code devops infrastructure automation system-admin","Bridges the gap between development and operations. Automation specialist focusing on building pipelines, orchestrating containers, managing cloud infrastructure, and ensuring system uptime and observability.","Docker, Kubernetes, AWS, Terraform, CI/CD, Linux, Prometheus, Grafana"
"Mobile Developer","swift kotlin flutter react-native ios android dart objective-c java mobile-design app-store google-play push-notifications local-storage api-integration responsive-ui mobile-development ios-dev android-dev","Designs and builds applications for iOS and Android devices. Optimizes mobile performance, integrates device APIs, and designs fluid touch interfaces.","Flutter, React Native, Swift (iOS), Kotlin (Android), mobile APIs"
"Cybersecurity Specialist","networking penetration-testing security-audit linux wireshark cryptography metaxploit python firewalls iam identity-and-access-management owasp security-compliance vulnerability-scanning ethical-hacking incident-response intrusion-detection cyber security protection ethical-hacking network-security","Protects systems, networks, and data from cyber threats. Conducts vulnerability scans, enforces access controls, audits security compliance, and designs secure system architectures.","Linux, Wireshark, Metasploit, Cryptography, Firewalls, IAM, OWASP"
"Cloud Architect","aws azure gcp google-cloud cloud-migration serverless serverless-architecture iam identity-and-access-management networking network-security terraform docker kubernetes microservices system-design high-availability disaster-recovery cost-optimization cloud-engineering","Designs enterprise-scale cloud infrastructures. Focuses on cost-optimization, high-availability, security boundaries, and migration of legacy systems into modern cloud ecosystems.","AWS, Azure, GCP, Terraform, Serverless, Cloud Security, System Design"
"AI Engineer","python pytorch tensorflow nlp natural-language-processing deep-learning computer-vision huggingface openai-api vector-databases chromadb pinecone llms large-language-models prompt-engineering langchain rag retrieval-augmented-generation artificial-intelligence machine-learning neural-networks","Specializes in integrating artificial intelligence capabilities into products. Focuses on fine-tuning LLMs, building Retrieval-Augmented Generation (RAG) pipelines, and deploying neural networks.","Python, PyTorch, Hugging Face, OpenAI API, Vector Databases (Pinecone/ChromaDB), LangChain"
"QA Automation Engineer","python selenium cypress playwright qa-testing manual-testing ci-cd jira postman test-automation regression-testing unit-testing integration-testing bug-tracking software-testing quality-assurance","Automates test suites to ensure software quality and reliability. Integrates automation runs into CI/CD pipelines, writes integration tests, and manages bug tracking.","Python, Selenium, Playwright, Cypress, Postman, CI/CD"
"Data Engineer","python sql apache-spark spark hadoop etl extract-transform-load airflow snowflake databricks kafka data-warehousing dbt data-pipelines data-modeling scala big-data clickhouse redshift databases data-pipelines","Builds, maintains, and optimizes data pipelines and architectures. Specializes in extract, transform, and load (ETL) pipelines, data warehouses, and streaming technologies.","Python, SQL, Apache Spark, Apache Airflow, Snowflake, Kafka, DBT"
